TRUCK_ID,MONTH,HOUR,DOW,DAY,PUBLIC_HOLIDAY,Profit,LAT,LONG,LOCATION_ID,SUM_DAY_OF_WEEK_AVG_CITY_MENU_TYPE,SUM_PREV_YEAR_MONTH_SALES_CITY_MENU_TYPE,WEATHERCODE,MENU_TYPE_GYROS_ENCODED,MENU_TYPE_CREPES_ENCODED,MENU_TYPE_BBQ_ENCODED,MENU_TYPE_SANDWICHES_ENCODED,MENU_TYPE_Mac & Cheese_encoded,MENU_TYPE_POUTINE_ENCODED,MENU_TYPE_ETHIOPIAN_ENCODED,MENU_TYPE_TACOS_ENCODED,MENU_TYPE_Ice Cream_encoded,MENU_TYPE_Hot Dogs_encoded,MENU_TYPE_CHINESE_ENCODED,MENU_TYPE_Grilled Cheese_encoded,MENU_TYPE_VEGETARIAN_ENCODED,MENU_TYPE_INDIAN_ENCODED,MENU_TYPE_RAMEN_ENCODED,CITY_SEATTLE_ENCODED,CITY_DENVER_ENCODED,CITY_San Mateo_encoded,CITY_New York City_encoded,CITY_BOSTON_ENCODED,REGION_NY_ENCODED,REGION_MA_ENCODED,REGION_CO_ENCODED,REGION_WA_ENCODED,REGION_CA_ENCODED
33,3,15,0,22,0,2633.5,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,3,16,0,22,0,2209.5,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,3,17,0,22,0,4462.5,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,3,18,0,22,0,5705.5,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,3,19,0,22,0,3292.5,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,3,20,0,22,0,7445.0,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,3,21,0,22,0,5525.0,47.64744728634749,-122.33657858578592,8405,-0.1994993872293752,-0.2302491004451197,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,7,16,4,16,0,738.5,47.64744728634749,-122.33657858578592,8405,-0.7358642635557255,-0.2302491004451197,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,7,17,4,16,0,928.5,47.64744728634749,-122.33657858578592,8405,-0.7358642635557255,-0.2302491004451197,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,7,18,4,16,0,3822.5,47.64744728634749,-122.33657858578592,8405,-0.7358642635557255,-0.2302491004451197,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
