TRUCK_ID,MONTH,HOUR,DOW,DAY,PUBLIC_HOLIDAY,LAT,LONG,LOCATION_ID,SUM_DAY_OF_WEEK_AVG_CITY_MENU_TYPE,SUM_PREV_YEAR_MONTH_SALES_CITY_MENU_TYPE,WEATHERCODE,MENU_TYPE_GYROS_ENCODED,MENU_TYPE_CREPES_ENCODED,MENU_TYPE_BBQ_ENCODED,MENU_TYPE_SANDWICHES_ENCODED,MENU_TYPE_Mac & Cheese_encoded,MENU_TYPE_POUTINE_ENCODED,MENU_TYPE_ETHIOPIAN_ENCODED,MENU_TYPE_TACOS_ENCODED,MENU_TYPE_Ice Cream_encoded,MENU_TYPE_Hot Dogs_encoded,MENU_TYPE_CHINESE_ENCODED,MENU_TYPE_Grilled Cheese_encoded,MENU_TYPE_VEGETARIAN_ENCODED,MENU_TYPE_INDIAN_ENCODED,MENU_TYPE_RAMEN_ENCODED,CITY_SEATTLE_ENCODED,CITY_DENVER_ENCODED,CITY_San Mateo_encoded,CITY_New York City_encoded,CITY_BOSTON_ENCODED,REGION_NY_ENCODED,REGION_MA_ENCODED,REGION_CO_ENCODED,REGION_WA_ENCODED,REGION_CA_ENCODED,PREDICTED
1,8,18,1,25,0,37.57277711543522,-122.339828405172,3864,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5104.1553
1,8,18,1,25,0,37.57419730784616,-122.31485990852194,1706,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5141.8755
1,8,18,1,25,0,37.56843489884353,-122.3305585707127,2099,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5180.5986
1,8,18,1,25,0,37.534583737550896,-122.29002712792256,2695,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5120.5273
1,8,18,1,25,0,37.54419244162268,-122.28106186723632,2691,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5130.1016
1,8,18,1,25,0,37.559144530607895,-122.2864321058572,3867,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5093.855
1,8,18,1,25,0,37.57903725685736,-122.32666458926704,5136,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5115.7837
1,8,18,1,25,0,37.55184030490717,-122.31356602095586,2901,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5139.3784
1,8,18,1,25,0,37.54812178864484,-122.32036383738452,1948,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5142.3755
1,8,18,1,25,0,37.56995367641549,-122.3286427386801,2546,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5148.4688
1,8,18,1,25,0,37.57128765594512,-122.33222711593936,3429,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5154.598
1,8,18,1,25,0,37.554537175895405,-122.3112172122786,2999,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5149.896
1,8,18,1,25,0,37.55351571801724,-122.3156667873661,2018,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5144.983
1,8,18,1,25,0,37.54435035857801,-122.28507900923552,1249,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5133.4165
1,8,18,1,25,0,37.58005925660097,-122.32221434859142,2688,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5136.1934
1,8,18,1,25,0,37.58089659637624,-122.32326502192272,2098,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5184.3438
1,8,18,1,25,0,37.56725681425989,-122.33099118043812,2013,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5136.7793
1,8,18,1,25,0,37.56123834522781,-122.31962070548902,3457,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5154.571
1,8,18,1,25,0,37.55149981416054,-122.31504916808042,3880,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5123.53
1,8,18,1,25,0,37.56393516006074,-122.31727193331164,4012,2.462298295158483e-16,-8.376023260453642e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5086.586
