LOCATION_ID,LAT,LONG,TRUCK_ID
3007,40.76880718090331,-73.985856368783,68
3007,40.76880718090331,-73.985856368783,73
3007,40.76880718090331,-73.985856368783,74
3007,40.76880718090331,-73.985856368783,70
3007,40.76880718090331,-73.985856368783,61
3007,40.76880718090331,-73.985856368783,71
3007,40.76880718090331,-73.985856368783,75
3007,40.76880718090331,-73.985856368783,62
3007,40.76880718090331,-73.985856368783,64
3007,40.76880718090331,-73.985856368783,72
3007,40.76880718090331,-73.985856368783,67
1606,42.34488821724058,-71.03175673188132,51
1606,42.34488821724058,-71.03175673188132,47
1606,42.34488821724058,-71.03175673188132,46
1606,42.34488821724058,-71.03175673188132,48
1606,42.34488821724058,-71.03175673188132,57
1606,42.34488821724058,-71.03175673188132,52
1606,42.34488821724058,-71.03175673188132,50
1606,42.34488821724058,-71.03175673188132,53
1606,42.34488821724058,-71.03175673188132,58
1606,42.34488821724058,-71.03175673188132,49
1606,42.34488821724058,-71.03175673188132,59
1606,42.34488821724058,-71.03175673188132,54
15490,42.36715330535944,-71.05645509031245,55
15490,42.36715330535944,-71.05645509031245,47
15490,42.36715330535944,-71.05645509031245,48
15490,42.36715330535944,-71.05645509031245,46
15490,42.36715330535944,-71.05645509031245,50
15490,42.36715330535944,-71.05645509031245,51
15490,42.36715330535944,-71.05645509031245,57
15490,42.36715330535944,-71.05645509031245,49
15490,42.36715330535944,-71.05645509031245,53
15490,42.36715330535944,-71.05645509031245,52
15490,42.36715330535944,-71.05645509031245,59
15490,42.36715330535944,-71.05645509031245,56
3757,42.36677003932876,-71.05488687727228,47
3757,42.36677003932876,-71.05488687727228,50
3757,42.36677003932876,-71.05488687727228,48
3757,42.36677003932876,-71.05488687727228,60
3757,42.36677003932876,-71.05488687727228,55
3757,42.36677003932876,-71.05488687727228,51
3757,42.36677003932876,-71.05488687727228,49
3757,42.36677003932876,-71.05488687727228,52
3757,42.36677003932876,-71.05488687727228,53
3757,42.36677003932876,-71.05488687727228,58
3757,42.36677003932876,-71.05488687727228,57
3757,42.36677003932876,-71.05488687727228,46
3757,42.36677003932876,-71.05488687727228,59
3757,42.36677003932876,-71.05488687727228,54
1149,42.33526648552083,-71.07202390970906,50
1149,42.33526648552083,-71.07202390970906,48
1149,42.33526648552083,-71.07202390970906,60
1149,42.33526648552083,-71.07202390970906,55
1149,42.33526648552083,-71.07202390970906,51
1149,42.33526648552083,-71.07202390970906,46
1149,42.33526648552083,-71.07202390970906,47
1149,42.33526648552083,-71.07202390970906,49
1149,42.33526648552083,-71.07202390970906,52
1149,42.33526648552083,-71.07202390970906,53
1149,42.33526648552083,-71.07202390970906,57
